NTP_time,DTAI,date,leap
2272060800,10,1972-01-01,-9
2287785600,11,1972-07-01,-8
2303683200,12,1973-01-01,-7
2335219200,13,1974-01-01,-6
2366755200,14,1975-01-01,-5
2398291200,15,1976-01-01,-4
2429913600,16,1977-01-01,-3
2461449600,17,1978-01-01,-2
2492985600,18,1979-01-01,-1
2524521600,19,1980-01-01,0
2571782400,20,1981-07-01,1
2603318400,21,1982-07-01,2
2634854400,22,1983-07-01,3
2698012800,23,1985-07-01,4
2776982400,24,1988-01-01,5
2840140800,25,1990-01-01,6
2871676800,26,1991-01-01,7
2918937600,27,1992-07-01,8
2950473600,28,1993-07-01,9
2982009600,29,1994-07-01,10
3029443200,30,1996-01-01,11
3076704000,31,1997-07-01,12
3124137600,32,1999-01-01,13
3345062400,33,2006-01-01,14
3439756800,34,2009-01-01,15
3550089600,35,2012-07-01,16
3644697600,36,2015-07-01,17
3692217600,37,2017-01-01,18
